timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1437534,3.43449e-05,-1.60494e-05,-0.000245923,1.0,3.76291e-06,2.87377e-06,-0.000304261,1.0,0.0,0.0,0.0,0
1467514,-4.35887e-05,7.01458e-05,-0.00017948,1.0,3.68751e-06,2.19665e-06,-0.000340548,1.0,0.0,0.0,0.0,0
1497021,-0.000141891,4.35201e-05,-0.000278872,1.0,3.31786e-06,3.26967e-06,-0.000373486,1.0,0.0,0.0,0.0,0
1532046,0.0001092,-0.000108178,-0.000287915,1.0,3.49341e-06,3.51596e-06,-0.000410167,1.0,0.0,0.0,0.0,0
1562073,4.31345e-05,-8.06472e-06,-0.000265561,1.0,4.04472e-06,3.78256e-06,-0.000445107,1.0,0.0,0.0,0.0,0
1594569,-1.65184e-06,2.08806e-05,-0.000424839,1.0,4.29411e-06,4.07857e-06,-0.000487131,1.0,0.0,0.0,0.0,0
1627060,8.67441e-05,3.64365e-06,-0.000470735,1.0,5.57164e-06,3.47749e-06,-0.000525662,1.0,0.0,0.0,0.0,0
1654565,2.01477e-05,4.5372e-05,-0.000366062,1.0,6.22013e-06,3.10529e-06,-0.000565419,1.0,0.0,0.0,0.0,0
1689532,-6.41432e-05,8.3814e-06,-0.000495435,1.0,6.3643e-06,2.69096e-06,-0.000609442,1.0,0.0,0.0,0.0,0
1719547,1.27616e-05,1.09846e-05,-0.000426635,1.0,6.92401e-06,2.67617e-06,-0.000648599,1.0,0.0,0.0,0.0,0
1752038,-1.24279e-06,-8.88729e-05,-0.000493694,1.0,6.1142e-06,2.7002e-06,-0.000700269,1.0,0.0,0.0,0.0,0
1782081,-5.50147e-05,2.35741e-05,-0.000515205,1.0,6.52994e-06,2.78671e-06,-0.00074137,1.0,0.0,0.0,0.0,0
1814545,-0.0001134,-2.71589e-05,-0.000464305,1.0,5.83008e-06,3.2408e-06,-0.000793301,1.0,0.0,0.0,0.0,0
1847033,-4.40458e-05,0.000104843,-0.000692116,1.0,5.04034e-06,3.22066e-06,-0.000841286,1.0,0.0,0.0,0.0,0
1877027,2.68998e-05,6.82073e-05,-0.000810293,1.0,5.07955e-06,3.36635e-06,-0.000889578,1.0,0.0,0.0,0.0,0
1907059,-7.62392e-06,9.61898e-05,-0.000677032,1.0,4.74278e-06,2.99476e-06,-0.000937562,1.0,0.0,0.0,0.0,0
1939582,3.86567e-05,1.51452e-05,-0.000638123,1.0,4.58077e-06,3.51948e-06,-0.000995703,1.0,0.0,0.0,0.0,0
1972065,6.61071e-05,-4.27997e-05,-0.000863895,1.0,4.68606e-06,3.15026e-06,-0.00105253,1.0,0.0,0.0,0.0,0
2004572,5.35576e-05,2.26501e-05,-0.000783668,0.999999,4.35521e-06,2.77567e-06,-0.00111097,1.0,0.0,0.0,0.0,0
2032050,8.40853e-05,9.65929e-05,-0.00090107,0.999999,4.57475e-06,3.30364e-06,-0.00116824,1.0,0.0,0.0,0.0,0
