timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
1437590,0.0,0.0,-0.000608522,0.0,1.0,0.0,0.0,-0.000304261,0.0,-1.0,1,0,0,0,0,0,0
1539556,0.0,0.0,-0.000841187,0.0,1.0,0.0,0.0,-0.000420594,0.0,-1.0,1,0,0,0,0,0,0
1642117,0.0,0.0,-0.00108675,0.0,1.0,0.0,0.0,-0.000543375,0.0,-1.0,1,0,0,0,0,0,0
1744615,0.0,0.0,-0.00137757,0.0,1.0,0.0,0.0,-0.000688786,0.0,-1.0,1,0,0,0,0,0,0
1847092,0.0,0.0,-0.00168257,0.0,1.0,0.0,0.0,-0.000841286,0.0,-1.0,1,0,0,0,0,0,0
1947050,0.0,0.0,-0.00201921,0.0,0.999999,0.0,0.0,-0.00100961,0.0,-1.0,1,0,0,0,0,0,0
2049623,0.0,0.0,-0.00239229,0.0,0.999999,0.0,0.0,-0.00119615,0.0,-1.0,1,0,0,0,0,0,0
2149599,0.0,0.0,-0.00282022,0.0,0.999999,0.0,0.0,-0.00141011,0.0,-1.0,1,0,0,0,0,0,0
2252122,0.0,0.0,-0.00327416,0.0,0.999999,0.0,0.0,-0.00163708,0.0,-1.0,1,0,0,0,0,0,0
2354600,0.0,0.0,-0.0037723,0.0,0.999998,0.0,0.0,-0.00188615,0.0,-1.0,1,0,0,0,0,0,0
2452141,0.0,0.0,-0.00425528,0.0,0.999998,0.0,0.0,-0.00212764,0.0,-1.0,1,0,0,0,0,0,0
2554587,0.0,0.0,-0.00483275,0.0,0.999997,0.0,0.0,-0.00241637,0.0,-1.0,1,0,0,0,0,0,0
2654613,0.0,0.0,-0.00545552,0.0,0.999996,0.0,0.0,-0.00272776,0.0,-1.0,1,0,0,0,0,0,0
2759607,0.0,0.0,-0.00613742,0.0,0.999995,0.0,0.0,-0.00306871,0.0,-1.0,1,0,0,0,0,0,0
2862084,0.0,0.0,-0.00689866,0.0,0.999994,0.0,0.0,-0.00344932,0.0,-1.0,1,0,0,0,0,0,0
2962134,0.0,0.0,-0.00767686,0.0,0.999993,0.0,0.0,-0.00383842,0.0,-1.0,1,0,0,0,0,0,0
3064626,0.0,0.0,-0.00852636,0.0,0.999991,0.0,0.0,-0.00426317,0.0,-1.0,1,0,0,0,0,0,0
3164664,0.0,0.0,-0.00936098,0.0,0.999989,0.0,0.0,-0.00468047,0.0,-1.0,1,0,0,0,0,0,0
3267103,0.0,0.0,-0.010232,0.0,0.999987,0.0,0.0,-0.00511596,0.0,-1.0,1,0,0,0,0,0,0
3369601,0.0,0.0,-0.0111636,0.0,0.999984,0.0,0.0,-0.00558178,0.0,-1.0,1,0,0,0,0,0,0
3467090,0.0,0.0,-0.0120877,0.0,0.999982,0.0,0.0,-0.00604383,0.0,-1.0,1,0,0,0,0,0,0
