timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1536634,0,0.0,0.0,-7.45433e-06,-1.33653e-05,-0.000255305,-5.70899e-13,-3.88726e-10,0.0,-3.33422e-05,-5.92552e-05,3.35787e-06,-0.000178085,-1.13918e-10,-7.75668e-08,0.0,-6.08863e-05,-0.00017364,2.96246e-05,-0.000331737,0.0,0.100122,-3.35787e-06,0.435552,1.52617,1.20901,0.757348,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1634094,0,0.0,0.0,-1.04358e-05,-1.87912e-05,-0.000210483,-5.70899e-13,-3.88726e-10,0.0,-3.93021e-05,-7.4216e-05,8.0782e-06,-0.000113373,-1.13918e-10,-7.75668e-08,0.0,-9.33565e-05,-0.000168721,-4.17233e-05,-0.000436569,0.0,0.100153,-8.0782e-06,0.386286,1.41194,0.950288,0.758567,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1739131,0,0.0,0.0,-1.37717e-05,-2.52475e-05,-0.000148616,-5.70899e-13,-3.88726e-10,0.0,-4.46818e-05,-8.62553e-05,1.67119e-05,-3.21714e-05,-1.13918e-10,-7.75668e-08,0.0,-7.79395e-05,3.96993e-05,6.3724e-05,-0.000572857,0.0,0.100148,-1.67119e-05,0.365201,1.32781,0.77684,0.760243,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1841637,0,0.0,0.0,-1.7076e-05,-3.19433e-05,-8.37639e-05,-5.70899e-13,-3.88726e-10,0.0,-4.87656e-05,-9.66268e-05,2.39581e-05,4.17679e-05,-1.13918e-10,-7.75668e-08,0.0,1.02048e-05,-0.000240449,2.09118e-05,-0.000714803,0.0,0.100175,-2.39581e-05,0.335791,1.25943,0.652935,0.760917,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
1939110,0,0.0,0.0,-1.98514e-05,-3.83353e-05,-2.41596e-05,-5.70899e-13,-3.88726e-10,0.0,-4.7692e-05,-0.00010541,3.00637e-05,0.000102365,-1.13918e-10,-7.75668e-08,0.0,3.0777e-05,-0.000166445,-6.50021e-05,-0.000865164,0.0,0.100148,-3.00637e-05,0.311775,1.20489,0.562073,0.761075,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2041600,0,0.0,0.0,-2.18139e-05,-4.44058e-05,4.33176e-05,-5.70899e-13,-3.88726e-10,0.0,-4.79208e-05,-0.000117481,4.04323e-05,0.00016699,-1.13918e-10,-7.75668e-08,0.0,-4.10245e-05,-0.000227273,3.78919e-05,-0.00104363,0.0,0.100137,-4.04323e-05,0.30076,1.16684,0.496654,0.761498,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2144118,0,0.0,0.0,-2.31883e-05,-5.03627e-05,8.85155e-05,-5.70899e-13,-3.88726e-10,0.0,-4.68688e-05,-0.000128345,4.7419e-05,0.000198474,-1.13918e-10,-7.75668e-08,0.0,5.17164e-05,-0.000147664,8.09523e-05,-0.00124041,0.0,0.1,-4.7419e-05,0.288175,1.13572,0.450571,0.761438,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2246592,0,0.0,0.0,-2.46996e-05,-5.77257e-05,7.86674e-05,-5.70899e-13,-3.88726e-10,0.0,-4.7458e-05,-0.000139294,3.73369e-05,0.000160133,-1.13918e-10,-7.75668e-08,0.0,-0.000155607,-0.00010502,4.5909e-05,-0.00145483,0.0,0.1,-3.73369e-05,0.295763,1.13484,0.439688,0.763539,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2349083,0,0.0,0.0,-2.53433e-05,-6.41416e-05,7.79272e-05,-5.70899e-13,-3.88726e-10,0.0,-4.62076e-05,-0.000147884,3.3475e-05,0.000138638,-1.13918e-10,-7.75668e-08,0.0,-3.24364e-05,-0.000341692,-3.58848e-05,-0.00169551,0.0,0.1,-3.3475e-05,0.286058,1.11641,0.414819,0.762829,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2449123,0,0.0,0.0,-2.66089e-05,-7.24336e-05,8.19874e-05,-5.70899e-13,-3.88726e-10,0.0,-4.59923e-05,-0.000160571,3.33412e-05,0.000130352,-1.13918e-10,-7.75668e-08,0.0,3.80037e-06,-0.000150137,5.17401e-06,-0.00194605,0.0,0.1,-3.33412e-05,0.2694,1.09294,0.393127,0.759649,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2551568,0,0.0,0.0,-2.7251e-05,-8.01156e-05,5.40537e-05,-5.70899e-13,-3.88726e-10,0.0,-4.67912e-05,-0.00017076,2.25328e-05,7.90188e-05,-1.13918e-10,-7.75668e-08,0.0,-5.46199e-06,-0.000218088,6.92765e-05,-0.00222294,0.0,0.1,-2.25328e-05,0.26043,1.07984,0.381979,0.756856,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
2649116,0,0.0,0.0,-2.72929e-05,-8.66083e-05,-6.42475e-06,-5.70899e-13,-3.88726e-10,0.0,-4.4098e-05,-0.000181832,-2.13431e-06,-1.16999e-05,-1.13918e-10,-7.75668e-08,0.0,0.000109988,-0.000200409,1.5615e-05,-0.00250841,0.0,0.1,2.13431e-06,0.257124,1.07628,0.377874,0.753348,inf,inf,inf,inf,1,1,1,1,1,0,1,1,0,0,0
